FromID,ToID,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay,Relation_Context_Depot,Relation_Context_Stimulation,FromType,ToType
66,2480,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1979,2485,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
957,2489,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
675,2480,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
964,2485,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
182,2489,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
182,2496,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
665,2480,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
674,2480,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1811,2480,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
61,2480,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
2013,2485,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
2071,2485,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1161,2480,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1221,2480,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
879,2485,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1211,2485,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
24,2480,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
42,2480,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1102,2485,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
17,2480,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1784,2485,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
25,2489,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
25,2496,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1448,2480,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
460,2485,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
963,2485,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
583,2485,REAC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
193,2503,REAC,AMSC,D14,sc,nonFFA,LipocyteProfiler_Feature,Pathway
1594,2480,REAC,AMSC,D14,sc,nonFFA,LipocyteProfiler_Feature,Pathway
1309,2480,REAC,AMSC,D14,sc,nonFFA,LipocyteProfiler_Feature,Pathway
24,2480,REAC,AMSC,D14,sc,nonFFA,LipocyteProfiler_Feature,Pathway
176,2480,REAC,AMSC,D14,sc,nonFFA,LipocyteProfiler_Feature,Pathway
25,2480,REAC,AMSC,D14,sc,nonFFA,LipocyteProfiler_Feature,Pathway
